Movie Title,Director,Count,Picked By
Devil in a Blue Dress,Carl Franklin,5,"RYAN COOGLER, NATASHA LYONNE, CATE BLANCHETT AND TODD FIELD, RICKIE LEE JONES, GINA PRINCE-BYTHEWOOD"
Children of Paradise,Marcel Carné,5,"STELLAN SKARSGÅRD, JUNE SQUIBB, MAYA AND ETHAN HAWKE, REBECCA MILLER, CARL FRANKLIN"
Secrets & Lies,Mike Leigh,5,"ROSE BYRNE, JAY DUPLASS, ALICIA SILVERSTONE, MARIANNE JEAN-BAPTISTE & MIKE LEIGH, KERRY CONDON"
My Darling Clementine,John Ford,5,"TED DANSON & MARY STEENBURGEN, BILLY CRUDUP, ARI ASTER, BILL HADER, MARC MARON"
The Apu Trilogy,Collector’s Set,5,"LAV DIAZ, BARRY JENKINS, NURI BILGE CEYLAN, SALLY POTTER, AMIR NADERI"
Harlan County USA,Barbara Kopple,5,"TOM ROTHMAN, ROB DELANEY, ZOË KRAVITZ AND CHANNING TATUM, BILL POPE, BILL AND TURNER ROSS"
The Cranes Are Flying,Mikhail Kalatozov,5,"NIA DACOSTA, SETH ROGEN & EVAN GOLDBERG, CATE BLANCHETT AND TODD FIELD, CALLUM TURNER, ISABEL SANDOVAL"
Happiness,Todd Solondz,5,"RACHEL SENNOTT, KATYA ZAMOLODCHIKOVA, ALAIN GUIRAUDIE, CARRIE COON, ANDREW GARFIELD"
Short Cuts,Robert Altman,5,"DEREK CIANFRANCE, FRANÇOIS GIRARD, JACQUES AUDIARD, CHARLES MELTON, BEN SINCLAIR"
Police Story / Police Story 2,Collector’s Set,5,"EDGAR WRIGHT, SETH ROGEN & EVAN GOLDBERG, BOWEN YANG, JOEL EDGERTON, DANIELS"
The Battle of Algiers,Gillo Pontecorvo,5,"KATHRYN BIGELOW, ZEINABU IRENE DAVIS, GARRETT BRADLEY, PHILIP KAUFMAN, THE WOLFPACK"
Straw Dogs,Sam Peckinpah,5,"KATHRYN BIGELOW, ARI ASTER, JOHNNIE TO, JASON SCHWARTZMAN, RON SHELTON"
