Movie Title,Director,Count,Picked By
Fat Girl,Catherine Breillat,7,"ATOM EGOYAN, BARRY JENKINS, JACQUELINE NOVAK AND JOHN EARLY, LUCA GUADAGNINO, PAULINE CHALAMET, RAVEN JACKSON, RUBEN ÖSTLUND"
Hedwig and the Angry Inch,John Cameron Mitchell,7,"ALICIA SILVERSTONE, BEN WHISHAW, JOEL KIM BOOSTER, MARION COTILLARD, MAURA TIERNEY, RICKIE LEE JONES, SETH ROGEN & EVAN GOLDBERG"
Kes,Ken Loach,7,"ANDREW GARFIELD, ASIF KAPADIA, KERRY CONDON, M.I.A. AND STEPHEN LOVERIDGE, MARIANNE JEAN-BAPTISTE & MIKE LEIGH, NICK OFFERMAN, SEAN BAKER"
12 Angry Men,Sidney Lumet,7,"AMELIA DIMOLDENBERG, BILLY CRUDUP, KEMP POWERS, NICHOLAS HOULT, STEVE COOGAN, YORGOS LANTHIMOS & ARIANE LABED, ​LUIS GUZMÁN"
Close-up,Abbas Kiarostami,7,"BEN SINCLAIR, BERTRAND BONELLO, BILL AND TURNER ROSS, JAY DUPLASS, MICHAEL CERA, ROSINE MBAKAM, THE WOLFPACK"
Tootsie,Sydney Pollack,7,"CATE BLANCHETT AND TODD FIELD, ETHAN HAWKE AND JONATHAN MARC SHERMAN, FRANKLIN LEONARD, JUDD APATOW, KATYA ZAMOLODCHIKOVA, MICHAEL CERA, PAUL W. DOWNS"
All About Eve,Joseph L. Mankiewicz,7,"ALICIA SILVERSTONE, BOWEN YANG, CAROL KANE, JULIA GARNER, MARGARET QUALLEY, MINNIE DRIVER, TODD HAYNES"
Brazil,Terry Gilliam,7,"ANDREW GARFIELD, ANDREW STANTON, ANDRÉ BONZEL, FLYING LOTUS, GINA GERSHON, JANELLE MONÁE, RONAN FARROW"
Eraserhead,David Lynch,7,"ALICIA MALONE, CATHERINE BREILLAT, DAVID CRONENBERG, ETHEL CAIN, JANE SCHOENBRUN, JANELLE MONÁE, THE WOLFPACK"
Grey Gardens,"David Maysles, Albert Maysles, Ellen Hovde, and Muffie Meyer",7,"BEN WHEATLEY, CHELSEA PERETTI, ETHEL CAIN, HARI NEF, JOHN DWYER, JULIA FOX, SETH MEYERS"
The Wages of Fear,Henri-Georges Clouzot,7,"ARI ASTER, BONG JOON HO, DENIS VILLENEUVE, JOEL EDGERTON, JUDE LAW, MATT DILLON, PHILIP KAUFMAN"
L’avventura,Michelangelo Antonioni,7,"ALEXANDER PAYNE, BENJAMIN MILLEPIED, GUY MADDIN, HARRIS SAVIDES, JACQUES AUDIARD, JOSEPH KOSINSKI, ROGER & JAMES DEAKINS"
Fish Tank,Andrea Arnold,7,"AMELIA DIMOLDENBERG, DANNY BOYLE, DIANE KRUGER, GINA PRINCE-BYTHEWOOD, KERRY CONDON, MAURA DELPERO, SALLY POTTER"
Night of the Living Dead,George A. Romero,7,"FIVE COMICS, JACQUELINE NOVAK AND JOHN EARLY, JANELLE MONÁE, JOHN DWYER, MATTHEW MODINE, RAÚL CASTILLO, SIMON PEGG"
